"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Intensivmedizin","Intensivmedizin","","","",0,*,"","","","null {[]} {[]}
","MII Logical Model Intensivmedizin","Logische Repräsentation des Erweiterungsmodul Intensivmedizin","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.ParameterGemessen.Messwert","Intensivmedizin.ParameterGemessen.Messwert","","","",0,*,"","","","string {[]} {[]}
","Wert der Analyse. Verschiedene Datentypen wie Quantität, Proportion, Ordinalskala oder Freitext möglich, auch in Kombination mit Einheiten.","Wert der Analyse. Verschiedene Datentypen wie Quantität, Proportion, Ordinalskala oder Freitext möglich, auch in Kombination mit Einheiten.","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterGemessen.Messwert",0,*,"",""
"Intensivmedizin.ParameterGemessen.KlinischRelevanteZeit","Intensivmedizin.ParameterGemessen.KlinischRelevanteZeit","","","",0,*,"","","","string {[]} {[]}
","Siehe Intensivmedizin.KlinischRelevanteZeit","Siehe Intensivmedizin.KlinischRelevanteZeit","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterGemessen.KlinischRelevanteZeit",0,*,"",""
"Intensivmedizin.ParameterGemessen.Messmethode","Intensivmedizin.ParameterGemessen.Messmethode","","","",0,*,"","","","null {[]} {[]}
","Siehe Intensivmedizin.Messmethode","Siehe Intensivmedizin.Messmethode","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterGemessen.Messmethode",0,*,"",""
"Intensivmedizin.ParameterEingestellt","Intensivmedizin.ParameterEingestellt","","","",0,*,"","","","BackboneElement {[]} {[]}
","Wert der Analyse. Verschiedene Datentypen wie Quantität, Proportion, Ordinalskala oder Freitext möglich, auch in Kombination mit Einheiten.","Wert der Analyse. Verschiedene Datentypen wie Quantität, Proportion, Ordinalskala oder Freitext möglich, auch in Kombination mit Einheiten.","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterEingestellt",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Intensivmedizin.ParameterEingestellt.id","Intensivmedizin.ParameterEingestellt.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Intensivmedizin.ParameterEingestellt.extension","Intensivmedizin.ParameterEingestellt.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.ParameterEingestellt.modifierExtension","Intensivmedizin.ParameterEingestellt.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Intensivmedizin.ParameterEingestellt.ParameterName","Intensivmedizin.ParameterEingestellt.ParameterName","","","",0,*,"","","","string {[]} {[]}
","Parametername wie z.B. Herzfrequenz oder Pulsfrequenz","Parametername wie z.B. Herzfrequenz oder Pulsfrequenz","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterEingestellt.ParameterName",0,*,"",""
"Intensivmedizin.ParameterEingestellt.ParameterCode","Intensivmedizin.ParameterEingestellt.ParameterCode","","","",0,*,"","","","string {[]} {[]}
","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend):  ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","Semantische Annotation. Primärcodes (mindestens einer sollte immer vorhanden sein): LOINC, SNOMED CT, Arzneimittel-Stoffkatalog-Nummer (ASK). Sekundärcodes (sollten vorhanden sein, wenn zutreffend):  ISO/IEEE 11073-10101 ( BMBF-Projekt OR.NET 1), DIVI Kerndatensatz Intensivmedizin (2010) 2, ggf. Referenz DIVI-Register Intensivmedizin, AKTIN-Codierung/Referenz 3, ggf. Referenz Kerndatensatz Anästhesiologie, ggf. Referenz MPOG","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterEingestellt.ParameterCode",0,*,"",""
"Intensivmedizin.ParameterEingestellt.Wert","Intensivmedizin.ParameterEingestellt.Wert","","","",0,*,"","","","string {[]} {[]}
","Eingestellter Wert, Gerätekonfiguration","Eingestellter Wert, Gerätekonfiguration","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterEingestellt.Wert",0,*,"",""
"Intensivmedizin.ParameterEingestellt.KlinischRelevanteZeit","Intensivmedizin.ParameterEingestellt.KlinischRelevanteZeit","","","",0,*,"","","","string {[]} {[]}
","Siehe Intensivmedizin.KlinischRelevanteZeit","Siehe Intensivmedizin.KlinischRelevanteZeit","","","","","","","","","",,,,,"",,,,"Intensivmedizin.ParameterEingestellt.KlinischRelevanteZeit",0,*,"",""
